time_key,分时_MA3,分时_MA5,VWAP,分时趋势结构,上下影线结构,分时量能趋势,成交金额趋势,涨跌幅强度,现价,换手率,昨收,成交量,成交额,昨日最高,昨日最低,反抽次数,OPEN强度,高点结构,早盘低点,托单压单,买一量,卖一量,score
2025-12-09 10:43:00,21.753,21.714,19.803,弱上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:44:00,21.757,21.734,19.803,强上升,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:45:00,21.727,21.744,19.803,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:46:00,21.75,21.754,19.804,强上升,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:47:00,21.803,21.776,19.805,强上升,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:48:00,21.927,21.848,19.807,强上升,正常,爆量(拉升),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:49:00,22.083,21.95,19.812,强上升,正常,爆量(拉升),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:50:00,22.183,22.05,19.814,强上升,长下影(承接),平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:51:00,22.21,22.124,19.816,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:52:00,22.137,22.15,19.818,强上升,正常,缩量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:53:00,22.13,22.172,19.819,强上升,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:54:00,22.153,22.166,19.821,弱上升,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
